 1	1.00	1.00
 2	1.00	2.00
 3	1.00	3.00
 4	1.00	4.00
 5	1.00	5.00
 6	1.00	6.00
 7	1.00	7.00
 8	1.00	8.00
 9	1.00	9.00
10	1.00	10.00
11	2.00	1.00
12	2.00	2.00
13	2.00	3.00
14	2.00	4.00
15	2.00	5.00
16	2.00	6.00
17	2.00	7.00
18	2.00	8.00
19	2.00	9.00
20	2.00	10.00
21	3.00	1.00
22	3.00	2.00
23	3.00	3.00
24	3.00	4.00
25	3.00	5.00
26	3.00	6.00
27	3.00	7.00
28	3.00	8.00
29	3.00	9.00
30	3.00	10.00
31	4.00	1.00
32	4.00	2.00
33	4.00	3.00
34	4.00	4.00
35	4.00	5.00
36	4.00	6.00
37	4.00	7.00
38	4.00	8.00
39	4.00	9.00
40	4.00	10.00
41	5.00	1.00
42	5.00	2.00
43	5.00	3.00
44	5.00	4.00
45	5.00	5.00
46	5.00	6.00
47	5.00	7.00
48	5.00	8.00
49	5.00	9.00
50	5.00	10.00
51	6.00	1.00
52	6.00	2.00
53	6.00	3.00
54	6.00	4.00
55	6.00	5.00
56	6.00	6.00
57	6.00	7.00
58	6.00	8.00
59	6.00	9.00
60	6.00	10.00
61	7.00	1.00
62	7.00	2.00
63	7.00	3.00
64	7.00	4.00
65	7.00	5.00
66	7.00	6.00
67	7.00	7.00
68	7.00	8.00
69	7.00	9.00
70	7.00	10.00
71	8.00	1.00
72	8.00	2.00
73	8.00	3.00
74	8.00	4.00
75	8.00	5.00
76	8.00	6.00
77	8.00	7.00
78	8.00	8.00
79	8.00	9.00
80	8.00	10.00
81	9.00	1.00
82	9.00	2.00
83	9.00	3.00
84	9.00	4.00
85	9.00	5.00
86	9.00	6.00
87	9.00	7.00
88	9.00	8.00
89	9.00	9.00
90	9.00	10.00
91	10.00	1.00
92	10.00	2.00
93	10.00	3.00
94	10.00	4.00
95	10.00	5.00
96	10.00	6.00
97	10.00	7.00
98	10.00	8.00
99	10.00	9.00
100	10.00	10.00
