 1	1.50	1.50
 2	1.50	2.50
 3	1.50	3.50
 4	1.50	4.50
 5	1.50	5.50
 6	1.50	6.50
 7	1.50	7.50
 8	1.50	8.50
 9	1.50	9.50
10	1.50	10.50
11	2.50	1.50
12	2.50	2.50
13	2.50	3.50
14	2.50	4.50
15	2.50	5.50
16	2.50	6.50
17	2.50	7.50
18	2.50	8.50
19	2.50	9.50
20	2.50	10.50
21	3.50	1.50
22	3.50	2.50
23	3.50	3.50
24	3.50	4.50
25	3.50	5.50
26	3.50	6.50
27	3.50	7.50
28	3.50	8.50
29	3.50	9.50
30	3.50	10.50
31	4.50	1.50
32	4.50	2.50
33	4.50	3.50
34	4.50	4.50
35	4.50	5.50
36	4.50	6.50
37	4.50	7.50
38	4.50	8.50
39	4.50	9.50
40	4.50	10.50
41	5.50	1.50
42	5.50	2.50
43	5.50	3.50
44	5.50	4.50
45	5.50	5.50
46	5.50	6.50
47	5.50	7.50
48	5.50	8.50
49	5.50	9.50
50	5.50	10.50
51	6.50	1.50
52	6.50	2.50
53	6.50	3.50
54	6.50	4.50
55	6.50	5.50
56	6.50	6.50
57	6.50	7.50
58	6.50	8.50
59	6.50	9.50
60	6.50	10.50
61	7.50	1.50
62	7.50	2.50
63	7.50	3.50
64	7.50	4.50
65	7.50	5.50
66	7.50	6.50
67	7.50	7.50
68	7.50	8.50
69	7.50	9.50
70	7.50	10.50
71	8.50	1.50
72	8.50	2.50
73	8.50	3.50
74	8.50	4.50
75	8.50	5.50
76	8.50	6.50
77	8.50	7.50
78	8.50	8.50
79	8.50	9.50
80	8.50	10.50
81	9.50	1.50
82	9.50	2.50
83	9.50	3.50
84	9.50	4.50
85	9.50	5.50
86	9.50	6.50
87	9.50	7.50
88	9.50	8.50
89	9.50	9.50
90	9.50	10.50
91	10.50	1.50
92	10.50	2.50
93	10.50	3.50
94	10.50	4.50
95	10.50	5.50
96	10.50	6.50
97	10.50	7.50
98	10.50	8.50
99	10.50	9.50
100	10.50	10.50
